Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.35,-.51,-.23,-.30,-.06,-.15,-.17,-.25,-.23,-.31,-.43,-.40,-.28,***,***,-.20,-.19,-.32
1881,-.30,-.22,-.04,.01,.04,-.33,.09,-.03,-.25,-.43,-.36,-.23,-.17,-.19,-.31,.00,-.09,-.35
1882,.27,.23,.03,-.31,-.24,-.29,-.26,-.13,-.23,-.51,-.32,-.67,-.20,-.17,.09,-.17,-.23,-.36
1883,-.56,-.65,-.14,-.28,-.23,-.12,-.02,-.20,-.30,-.15,-.41,-.14,-.27,-.31,-.63,-.22,-.12,-.29
1884,-.16,-.09,-.62,-.59,-.37,-.42,-.42,-.48,-.43,-.44,-.56,-.47,-.42,-.39,-.13,-.52,-.44,-.48
1885,-1.00,-.44,-.22,-.48,-.56,-.43,-.32,-.38,-.37,-.34,-.36,-.09,-.42,-.45,-.64,-.42,-.38,-.36
1886,-.72,-.82,-.69,-.35,-.32,-.35,-.12,-.41,-.31,-.29,-.37,-.19,-.41,-.40,-.54,-.45,-.29,-.32
1887,-1.06,-.68,-.41,-.36,-.23,-.18,-.22,-.52,-.18,-.47,-.25,-.42,-.42,-.40,-.64,-.33,-.31,-.30
1888,-.46,-.59,-.61,-.19,-.13,-.01,.03,-.18,-.17,-.01,.02,-.22,-.21,-.23,-.49,-.31,-.05,-.05
1889,-.25,.32,-.01,.18,-.02,-.05,-.06,-.19,-.28,-.40,-.60,-.53,-.16,-.13,-.05,.05,-.10,-.43
1890,-.62,-.58,-.46,-.23,-.34,-.14,-.22,-.38,-.33,-.08,-.62,-.45,-.37,-.38,-.58,-.34,-.25,-.35
1891,-.45,-.67,-.14,-.34,-.14,-.11,-.10,-.11,-.06,-.27,-.51,-.03,-.25,-.28,-.52,-.21,-.11,-.28
1892,-.48,-.14,-.65,-.43,-.22,-.04,-.36,-.31,-.18,-.26,-.81,-.64,-.38,-.33,-.22,-.44,-.24,-.42
1893,-1.50,-.95,-.30,-.28,-.43,-.18,-.12,-.32,-.27,-.27,-.33,-.60,-.46,-.47,-1.03,-.34,-.21,-.29
1894,-.89,-.40,-.19,-.52,-.24,-.39,-.19,-.25,-.31,-.25,-.46,-.33,-.37,-.39,-.63,-.32,-.28,-.34
1895,-.67,-.78,-.47,-.16,-.27,-.18,-.16,-.25,-.03,-.07,-.10,-.20,-.28,-.29,-.60,-.30,-.19,-.07
1896,-.33,-.16,-.47,-.58,-.14,.10,.03,-.09,-.11,.07,-.18,-.19,-.17,-.17,-.23,-.40,.01,-.07
1897,-.36,-.40,-.37,-.03,.15,-.04,.07,-.05,-.04,-.12,-.25,-.27,-.14,-.13,-.31,-.08,-.01,-.14
1898,.09,-.41,-.75,-.23,-.24,-.04,-.08,-.14,-.14,-.34,-.47,-.25,-.25,-.25,-.20,-.40,-.09,-.32
1899,-.11,-.62,-.58,-.22,-.23,-.34,-.13,-.03,-.01,.07,.38,-.43,-.19,-.17,-.33,-.35,-.17,.14
1900,-.59,-.12,.08,-.08,-.01,-.07,-.09,-.06,.00,.26,-.10,.00,-.07,-.10,-.38,.00,-.08,.05
1901,-.34,-.07,.28,.13,-.11,.03,.03,-.14,-.25,-.29,-.20,-.40,-.11,-.08,-.14,.10,-.03,-.24
1902,-.16,.03,-.37,-.35,-.36,-.37,-.31,-.25,-.31,-.29,-.44,-.58,-.31,-.30,-.18,-.36,-.31,-.35
1903,-.20,.13,-.13,-.44,-.41,-.43,-.42,-.53,-.48,-.48,-.41,-.55,-.36,-.37,-.22,-.33,-.46,-.45
1904,-.76,-.58,-.39,-.48,-.43,-.47,-.57,-.53,-.62,-.38,-.08,-.34,-.47,-.49,-.63,-.43,-.52,-.36
1905,-.40,-.82,-.22,-.43,-.28,-.26,-.21,-.23,-.18,-.24,.10,-.16,-.28,-.29,-.52,-.31,-.23,-.11
1906,-.53,-.52,-.17,.06,-.23,-.10,-.26,-.16,-.23,-.17,-.38,.04,-.22,-.24,-.40,-.11,-.17,-.26
1907,-.57,-.71,-.30,-.44,-.57,-.50,-.40,-.38,-.39,-.20,-.56,-.59,-.47,-.42,-.41,-.44,-.43,-.39
