Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.28,-.04,-.37,-.12,-.01,-.80,-.48,-.28,-.15,-.09,-.03,.05,.64
1881,-.08,-.17,.01,-.34,.11,-.07,-.90,-.44,-.19,.10,.12,-.05,-.07,.56
1882,-.10,-.20,-.01,-.30,-.04,.01,-1.40,-.26,-.13,-.05,-.03,.02,.04,.59
1883,-.16,-.27,-.06,-.33,-.16,-.01,-.18,-.54,-.23,-.17,-.14,-.03,.07,.47
1884,-.28,-.42,-.14,-.60,-.14,-.14,-1.28,-.64,-.45,-.13,-.15,-.19,-.02,.62
1885,-.32,-.42,-.24,-.64,-.11,-.27,-1.47,-.66,-.45,-.04,-.19,-.33,-.15,.79
1886,-.30,-.41,-.20,-.55,-.18,-.21,-1.54,-.47,-.40,-.19,-.17,-.20,-.21,.56
1887,-.35,-.42,-.28,-.51,-.28,-.28,-1.72,-.48,-.29,-.26,-.29,-.27,-.26,.29
1888,-.16,-.21,-.12,-.40,.12,-.29,-1.26,-.39,-.24,.10,.13,-.31,-.23,.13
1889,-.10,-.16,-.04,-.28,.09,-.16,-.64,-.20,-.28,.04,.15,-.15,-.15,.42
1890,-.34,-.37,-.32,-.45,-.35,-.23,-1.09,-.56,-.27,-.24,-.47,-.18,-.27,.12
1891,-.22,-.25,-.19,-.42,-.06,-.22,-1.11,-.32,-.37,.03,-.16,-.18,-.24,-.19
1892,-.26,-.38,-.15,-.43,-.27,-.08,-1.15,-.64,-.17,-.29,-.26,.02,-.22,.06
1893,-.31,-.46,-.15,-.51,-.34,-.05,-.71,-.54,-.47,-.39,-.30,.07,-.20,-.07
1894,-.29,-.37,-.21,-.32,-.31,-.24,-.97,-.31,-.18,-.45,-.18,-.15,-.35,-.41
1895,-.21,-.28,-.15,-.39,-.05,-.26,-.65,-.50,-.27,-.10,.01,-.20,-.32,-.61
1896,-.10,-.17,-.03,-.34,.12,-.15,-.88,-.34,-.22,.09,.15,-.15,-.13,.22
1897,-.10,-.14,-.05,-.34,.19,-.24,-.55,-.44,-.23,.17,.21,-.19,-.27,.37
1898,-.25,-.25,-.26,-.32,-.20,-.27,-1.10,-.18,-.23,-.14,-.25,-.28,-.21,.35
1899,-.16,-.19,-.14,-.23,-.10,-.19,-1.02,-.07,-.14,-.13,-.07,-.15,-.22,.55
1900,-.07,-.07,-.06,-.18,.19,-.30,-.55,-.11,-.15,.12,.27,-.28,-.29,.24
1901,-.15,-.11,-.18,-.15,-.02,-.30,-.40,-.09,-.14,-.04,.00,-.27,-.34,.23
1902,-.27,-.31,-.22,-.51,-.02,-.35,-1.33,-.50,-.32,.00,-.04,-.28,-.43,-.08
1903,-.36,-.36,-.36,-.45,-.27,-.38,-.21,-.40,-.55,-.22,-.32,-.35,-.40,-.49
1904,-.46,-.47,-.46,-.50,-.46,-.44,-.15,-.58,-.55,-.42,-.49,-.37,-.49,-1.31
1905,-.26,-.28,-.23,-.40,-.08,-.36,-.06,-.21,-.62,-.09,-.06,-.32,-.37,-.33
1906,-.22,-.22,-.21,-.25,-.18,-.23,-.26,-.05,-.39,-.18,-.18,-.20,-.22,-.71
1907,-.39,-.47,-.30,-.58,-.31,-.29,-.58,-.70,-.52,-.30,-.31,-.21,-.37,-1.20
1908,-.43,-.45,-.41,-.47,-.44,-.36,-.24,-.52,-.52,-.41,-.47,-.29,-.48,.68
1909,-.49,-.49,-.48,-.53,-.49,-.44,-.75,-.60,-.44,-.45,-.53,-.37,-.52,-.56
1910,-.43,-.44,-.43,-.41,-.49,-.38,-.56,-.23,-.49,-.49,-.49,-.33,-.45,.16
1911,-.44,-.42,-.46,-.42,-.42,-.48,-.26,-.40,-.47,-.43,-.42,-.44,-.53,.05
1912,-.36,-.46,-.25,-.59,-.18,-.37,-.49,-.77,-.50,-.27,-.08,-.36,-.29,-1.63
1913,-.34,-.42,-.26,-.44,-.27,-.35,-.49,-.32,-.50,-.39,-.14,-.28,-.40,-1.03
1914,-.15,-.19,-.11,-.25,-.06,-.18,-.36,-.15,-.28,-.12,-.01,-.15,-.18,-.36
1915,-.14,-.14,-.13,-.23,-.01,-.22,-.59,-.15,-.19,.00,-.01,-.14,-.23,-1.98
1916,-.36,-.42,-.30,-.37,-.45,-.23,-.45,-.53,-.25,-.49,-.40,-.22,-.17,-1.05
1917,-.46,-.58,-.36,-.50,-.63,-.19,-.82,-.49,-.44,-.69,-.58,-.22,-.09,.07
1918,-.30,-.40,-.20,-.41,-.34,-.14,-1.01,-.26,-.35,-.39,-.28,-.06,-.23,-.28
1919,-.28,-.35,-.20,-.43,-.20,-.22,-.70,-.55,-.30,-.24,-.16,-.14,-.32,.20
1920,-.27,-.30,-.24,-.25,-.26,-.32,.00,-.20,-.35,-.38,-.13,-.19,-.48,-1.14
1921,-.19,-.11,-.26,.02,-.25,-.31,.01,.18,-.09,-.29,-.21,-.23,-.38,-.84
1922,-.28,-.27,-.29,-.24,-.31,-.27,-.30,-.40,-.13,-.32,-.31,-.24,-.28,-.28
1923,-.26,-.22,-.30,-.15,-.30,-.34,.17,-.14,-.26,-.32,-.27,-.26,-.41,-.54
1924,-.27,-.19,-.35,-.13,-.26,-.43,.46,-.25,-.22,-.27,-.24,-.39,-.45,-.53
1925,-.22,-.14,-.30,-.04,-.24,-.37,-.06,.18,-.18,-.28,-.20,-.24,-.55,-.86
1926,-.10,.02,-.21,.03,.02,-.40,.58,.16,-.21,.01,.03,-.34,-.45,-.63
1927,-.22,-.13,-.29,-.13,-.16,-.38,.03,-.21,-.12,-.14,-.17,-.30,-.45,-1.38
1928,-.20,-.10,-.29,-.06,-.15,-.39,.73,-.17,-.22,-.15,-.15,-.28,-.48,-2.12
1929,-.36,-.33,-.38,-.37,-.27,-.45,.15,-.61,-.38,-.27,-.28,-.42,-.44,-1.07
1930,-.16,-.01,-.29,.04,-.11,-.42,.55,.04,-.10,-.09,-.12,-.33,-.47,-2.59
1931,-.09,.05,-.21,.01,.08,-.43,.58,-.04,-.14,.10,.06,-.42,-.40,-.41
1932,-.16,-.05,-.26,.04,-.16,-.35,.50,.19,-.21,-.19,-.14,-.21,-.53,-.99
1933,-.28,-.25,-.31,-.24,-.28,-.34,-.15,-.47,-.12,-.28,-.27,-.21,-.48,-1.14
1934,-.13,.00,-.26,.18,-.25,-.26,.89,.31,-.12,-.26,-.25,-.15,-.38,-.57
1935,-.20,-.09,-.30,-.04,-.18,-.38,.35,-.05,-.16,-.16,-.20,-.30,-.42,-1.71
1936,-.15,-.03,-.26,-.03,-.13,-.30,.40,.10,-.25,-.05,-.21,-.26,-.33,-.03
1937,-.03,.12,-.18,.20,-.05,-.22,1.24,.02,-.02,.01,-.12,-.19,-.26,.37
1938,.00,.16,-.18,.39,-.23,-.10,1.51,.38,.03,-.17,-.28,-.06,-.11,-.86
1939,-.02,.09,-.13,.23,-.12,-.12,.57,.28,.08,-.11,-.13,-.04,-.19,-1.60
1940,.13,.18,.09,.11,.29,-.07,1.00,-.02,-.09,.28,.29,.03,-.20,-.05
1941,.19,.23,.17,.01,.50,-.05,.01,-.10,.08,.55,.44,.04,-.15,-.46
1942,.07,.13,.01,.13,.08,-.01,.74,-.07,.06,.12,.04,.06,-.05,-.90
1943,.09,.18,-.01,.37,-.08,.04,1.42,.28,.11,-.10,-.07,.07,.00,1.14
1944,.20,.27,.14,.38,.19,.05,1.18,.47,.09,.11,.26,.18,-.10,-.92
1945,.09,.10,.09,.11,.17,-.03,.63,-.03,.04,.09,.24,.03,.00,-1.75
1946,-.07,.03,-.17,.06,-.05,-.24,-.02,-.05,.16,-.03,-.07,-.22,-.24,-.14
1947,-.03,.08,-.14,.15,-.06,-.16,1.07,-.13,.04,-.03,-.09,-.19,-.08,-.18
1948,-.11,-.02,-.20,.12,-.18,-.24,.12,.32,.00,-.23,-.14,-.20,-.19,-1.35
1949,-.11,-.03,-.20,.11,-.19,-.23,.21,.17,.04,-.23,-.15,-.18,-.15,-1.95
1950,-.17,-.15,-.21,-.05,-.29,-.14,.20,-.31,.04,-.30,-.28,-.06,-.16,-.86
1951,-.07,.04,-.18,.08,-.06,-.23,.09,.01,.12,-.01,-.12,-.22,-.16,-.69
1952,.01,.06,-.04,.11,.01,-.09,.27,-.09,.19,-.02,.04,-.10,-.02,-.49
1953,.08,.24,-.08,.35,.07,-.18,1.02,.35,.14,.08,.06,-.08,-.24,-1.08
1954,-.13,-.02,-.25,.07,-.21,-.22,.80,-.21,.00,-.14,-.28,-.18,-.20,-.80
1955,-.14,-.09,-.21,.04,-.34,-.06,-.24,-.11,.23,-.30,-.38,-.16,-.08,1.22
1956,-.19,-.23,-.16,-.20,-.33,.00,.01,-.47,-.09,-.29,-.37,-.14,.02,.76
1957,.05,.04,.05,.03,.08,.02,.09,.22,-.11,.05,.10,-.09,-.02,.48
1958,.06,.15,-.02,.08,.20,-.14,-.17,.14,.12,.26,.15,-.08,-.08,-.47
1959,.03,.12,-.06,.16,.07,-.15,.48,.18,.05,.07,.08,-.03,-.26,-.33
1960,-.02,.08,-.12,.09,.02,-.19,.33,-.07,.11,.06,-.02,-.10,-.07,-.70
1961,.06,.08,.03,.19,-.03,.06,-.15,.38,.18,-.07,.00,.14,-.17,.25
1962,.04,.13,-.06,.24,-.05,-.06,.44,.31,.14,-.05,-.05,.09,-.07,-.55
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.13,.10,-.10,-.17,-.04
1964,-.20,-.19,-.21,-.23,-.14,-.25,-.67,-.20,-.12,-.14,-.14,-.30,-.07,-.41
1965,-.11,-.14,-.07,-.18,-.03,-.14,-.28,-.24,-.12,-.08,.02,-.23,-.03,-.03
1966,-.06,-.02,-.09,-.14,.08,-.16,-.76,-.19,.09,.16,-.01,-.24,-.14,.05
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.29
1968,-.08,-.07,-.09,-.11,-.07,-.08,-.33,-.02,-.08,-.02,-.11,-.14,.00,-.03
1969,.05,-.03,.15,-.29,.34,.03,-.04,-.61,-.17,.35,.32,.00,.13,-.09
1970,.02,-.04,.09,-.11,.07,.10,-.21,-.13,-.06,.07,.06,.11,.03,.26
1971,-.08,-.15,-.02,-.06,-.26,.12,-.08,.01,-.10,-.29,-.22,.03,.16,.40
1972,.01,-.17,.19,-.34,.17,.14,-.36,-.47,-.24,.07,.27,.16,-.02,.40
1973,.16,.10,.23,.11,.19,.18,.07,.27,.02,.08,.30,.22,.08,.33
1974,-.07,-.18,.03,-.14,-.20,.17,-.18,-.07,-.18,-.23,-.17,.22,-.08,.64
1975,-.01,-.05,.02,.12,-.24,.15,.10,.39,-.05,-.30,-.17,.13,.14,.25
1976,-.10,-.21,.00,-.26,-.11,.08,-.07,-.32,-.28,-.12,-.10,.10,.22,-.28
1977,.18,.12,.24,.13,.16,.25,.16,.24,.06,.10,.22,.22,.31,.24
1978,.07,.02,.11,-.03,.08,.16,-.15,.04,-.04,.10,.05,.21,.13,.03
1979,.16,.08,.24,-.03,.26,.23,-.61,.07,.09,.26,.27,.30,.33,-.21
1980,.26,.17,.35,.06,.31,.39,.26,.02,.02,.33,.28,.35,.37,.57
1981,.32,.37,.27,.48,.18,.35,1.09,.79,.08,.22,.14,.28,.39,.56
1982,.14,.06,.22,-.08,.27,.18,-.40,.10,-.08,.25,.29,.18,.32,-.12
1983,.31,.25,.37,.22,.43,.23,.19,.69,-.07,.29,.57,.21,.41,-.03
1984,.16,.04,.27,.02,.18,.26,.37,.08,-.14,.07,.29,.16,.32,.47
1985,.12,.00,.23,-.03,.09,.30,.39,-.26,-.02,.05,.14,.30,.44,.00
1986,.18,.14,.23,.11,.23,.20,.01,.28,.03,.18,.27,.25,.25,-.09
1987,.32,.25,.40,.04,.58,.25,-.36,.13,.12,.55,.61,.32,.25,.01
1988,.38,.37,.40,.40,.37,.38,.59,.57,.24,.33,.42,.38,.20,.77
1989,.27,.27,.27,.41,.13,.33,.33,.69,.25,.07,.18,.36,.30,.31
1990,.45,.53,.37,.63,.37,.38,.58,.88,.48,.38,.36,.37,.37,.38
1991,.40,.41,.39,.47,.36,.39,.76,.66,.26,.32,.40,.31,.29,.89
1992,.22,.14,.30,.09,.28,.26,-.16,.44,-.04,.20,.36,.20,.33,.35
1993,.23,.19,.28,.12,.32,.22,.54,.29,-.11,.29,.35,.26,.39,-.31
1994,.31,.37,.26,.43,.31,.20,.35,.50,.41,.28,.34,.26,.23,-.06
1995,.45,.58,.32,.70,.43,.22,1.31,.98,.31,.41,.45,.29,.15,.15
1996,.33,.26,.39,.23,.32,.43,.77,.17,.10,.31,.33,.32,.28,1.20
1997,.46,.52,.42,.53,.51,.34,.76,.90,.22,.50,.52,.42,.36,.01
1998,.61,.71,.52,.78,.70,.33,.86,.94,.65,.60,.79,.39,.31,.18
1999,.39,.48,.29,.70,.21,.31,.40,.80,.73,.16,.26,.46,.19,.05
2000,.40,.50,.29,.70,.25,.29,.98,.80,.55,.21,.29,.42,.10,.27
2001,.54,.64,.44,.80,.43,.43,1.08,.86,.68,.40,.45,.58,.24,.31
2002,.63,.71,.54,.83,.60,.47,1.27,1.00,.58,.55,.64,.50,.32,.74
2003,.62,.75,.50,.84,.64,.38,1.51,.99,.53,.61,.67,.44,.24,.45
2004,.54,.66,.43,.73,.55,.34,.48,.96,.66,.56,.54,.48,.23,.07
2005,.68,.86,.51,1.02,.63,.43,2.00,1.23,.57,.62,.63,.49,.19,.71
2006,.64,.82,.46,.99,.56,.40,1.74,1.06,.70,.57,.55,.51,.20,.45
2007,.66,.85,.47,1.13,.46,.46,2.13,1.32,.69,.45,.48,.50,.07,1.16
2008,.54,.68,.40,.92,.38,.39,1.55,1.08,.61,.33,.42,.53,.09,.56
2009,.66,.73,.59,.78,.68,.50,1.44,.60,.68,.65,.71,.60,.15,.91
2010,.72,.90,.55,1.03,.69,.47,2.23,.87,.74,.72,.65,.64,.20,.47
2011,.61,.74,.47,.99,.37,.54,2.36,.94,.58,.39,.36,.64,.18,.99
2012,.64,.81,.48,1.04,.53,.40,2.22,.93,.74,.48,.58,.56,.19,.27
2013,.68,.80,.56,.95,.58,.55,1.56,1.04,.69,.58,.58,.63,.22,.99
2014,.75,.92,.57,1.07,.67,.52,2.05,1.12,.73,.69,.66,.72,.18,.52
2015,.90,1.18,.63,1.31,.96,.40,2.00,1.47,.99,.98,.95,.75,.18,-.35
2016,1.02,1.31,.73,1.55,1.02,.49,3.25,1.43,1.07,.96,1.07,.67,.26,.37
2017,.92,1.18,.67,1.39,.82,.59,2.52,1.37,1.04,.87,.78,.76,.35,.53
2018,.85,1.04,.66,1.25,.68,.68,2.17,1.09,1.06,.73,.64,.80,.37,.94
2019,.98,1.21,.75,1.42,.91,.64,2.71,1.44,.99,.91,.90,.75,.39,.84
